Year,Region,Population Growth (%),Urbanization Rate (%),Infrastructure Growth (%),Poverty Rate (%),Slum Growth (%)
1999,"Area Code: 800001, Patna",0.91,2.19,2.85,12.18,3.74
2000,"Area Code: 800001, Patna",0.71,2.34,3.94,26.2,1.56
2001,"Area Code: 800001, Patna",1.68,3,4.55,25.04,3.65
2002,"Area Code: 800001, Patna",1.13,2.46,4.17,22.63,4.19
2003,"Area Code: 800001, Patna",1.17,1.24,3.68,15.3,2.54
2004,"Area Code: 800001, Patna",0.53,1.77,4.43,20.85,1.04
2005,"Area Code: 800001, Patna",1.2,1.58,3.43,18.09,4.73
2006,"Area Code: 800001, Patna",0.56,2.37,4.55,29.18,1.71
2007,"Area Code: 800001, Patna",1.3,1.09,3.5,12.51,4.35
2008,"Area Code: 800001, Patna",0.67,2.03,3.56,29.43,3.62
2009,"Area Code: 800001, Patna",0.93,1.48,2.38,25.13,3.76
2010,"Area Code: 800001, Patna",1.41,1.08,4.29,22.84,4.86
2011,"Area Code: 800001, Patna",1.38,1.61,3.14,13.52,3.89
2012,"Area Code: 800001, Patna",1.56,1.4,2.48,11.54,4.65
2013,"Area Code: 800001, Patna",0.85,1.69,2.84,18.27,3.86
2014,"Area Code: 800001, Patna",1.81,1.37,4.06,17.05,4.92
2015,"Area Code: 800001, Patna",0.95,1.01,3.55,13.01,1.18
2016,"Area Code: 800001, Patna",1.55,2.46,3.38,23.54,3.15
2017,"Area Code: 800001, Patna",1.44,2.19,4,13.99,2.07
2018,"Area Code: 800001, Patna",1.16,1.89,4.32,17.35,1.65
2019,"Area Code: 800001, Patna",0.88,1.43,4.19,19.41,3.83
2020,"Area Code: 800001, Patna",1.12,2.78,4.95,23.4,4.46
2021,"Area Code: 800001, Patna",1.26,2.87,4.49,29.84,3.49
2022,"Area Code: 800001, Patna",1.67,2.09,2.78,17.1,4.58
2023,"Area Code: 800001, Patna",0.58,2.18,3.12,17.73,4.54
2024,"Area Code: 800001, Patna",1.78,2.2,2.82,19.51,2.63
2025,"Area Code: 800001, Patna",1.03,1.21,3.63,16.04,3.64
1995,"Shivajinagar, Bengaluru",1.34,1.92,4.7,14.39,3.97
1996,"Shivajinagar, Bengaluru",0.74,2.23,4.61,19.16,3.9
1997,"Shivajinagar, Bengaluru",1.73,1.27,4.12,28.4,3.31
1998,"Shivajinagar, Bengaluru",0.78,1.25,2.78,12.07,3.05
1999,"Shivajinagar, Bengaluru",0.6,1.45,3.32,19.48,3.26
2000,"Shivajinagar, Bengaluru",1.56,1.09,2.24,11.22,2.69
2001,"Shivajinagar, Bengaluru",0.56,2.49,2.67,28.78,2.95
2002,"Shivajinagar, Bengaluru",1.17,2.56,4.14,22.15,4.74
2003,"Shivajinagar, Bengaluru",1.13,2.62,3.14,26.77,2.04
2004,"Shivajinagar, Bengaluru",0.93,2.36,2.64,14.58,2.22
2005,"Shivajinagar, Bengaluru",1.52,2.78,4.02,26.56,3.17
2006,"Shivajinagar, Bengaluru",0.6,1.2,3.66,16.56,1.88
2007,"Shivajinagar, Bengaluru",1.2,2.33,3.15,26.05,3.95
2008,"Shivajinagar, Bengaluru",1.6,2.97,2.89,22.89,4.42
2009,"Shivajinagar, Bengaluru",1.37,2.58,3.24,21.81,1.22
2010,"Shivajinagar, Bengaluru",1.98,2.6,4.61,23.89,1.74
2011,"Shivajinagar, Bengaluru",0.55,2.73,3.19,15.28,3.25
2012,"Shivajinagar, Bengaluru",1.13,2.3,3.45,23.94,4.41
2013,"Shivajinagar, Bengaluru",0.79,1.66,3.31,29.24,2.46
2014,"Shivajinagar, Bengaluru",1.07,2.31,3.26,29.02,4.58
2015,"Shivajinagar, Bengaluru",1.27,2.29,2.17,23.91,3.83
2016,"Shivajinagar, Bengaluru",1.04,1.44,4.75,18.53,3.61
2017,"Shivajinagar, Bengaluru",0.55,1.83,4.45,17.75,3.41
2018,"Shivajinagar, Bengaluru",0.81,1.83,4.78,21.33,4.61
2019,"Shivajinagar, Bengaluru",1.85,2.89,4.69,10.07,4.74
2020,"Shivajinagar, Bengaluru",0.71,1.08,2.17,16.98,3.48
2021,"Shivajinagar, Bengaluru",1.1,1.05,3.43,18.84,4.03
2022,"Shivajinagar, Bengaluru",0.92,1.44,2.77,16.07,3.4
2023,"Shivajinagar, Bengaluru",1.21,1.67,3.12,17.42,4.89
2024,"Shivajinagar, Bengaluru",0.85,2.64,4.12,10.11,4.97
2025,"Shivajinagar, Bengaluru",1.63,2.36,3.22,21.1,2.01
1995,"Ganga Nagar, Bengaluru",0.83,1.75,2.4,22.15,3.91
1996,"Ganga Nagar, Bengaluru",1.22,1.49,3.86,20.78,1.68
1997,"Ganga Nagar, Bengaluru",1.11,1.87,4.95,26.99,3.94
1998,"Ganga Nagar, Bengaluru",1.83,2.47,4.71,11.09,2.82
1999,"Ganga Nagar, Bengaluru",1.62,2.17,2.53,16.81,2.27
2000,"Ganga Nagar, Bengaluru",0.89,1.69,3.54,27.1,3.97
2001,"Ganga Nagar, Bengaluru",1.75,2.77,3.25,16.92,1.23
2002,"Ganga Nagar, Bengaluru",1.9,1.13,4.22,17.56,4.8
2003,"Ganga Nagar, Bengaluru",1.13,2.63,2.85,15.98,3.38
2004,"Ganga Nagar, Bengaluru",2,2.04,4.81,25.72,4.18
2005,"Ganga Nagar, Bengaluru",1.15,1.77,2.58,29.28,4.84
2006,"Ganga Nagar, Bengaluru",1.62,1.59,2.74,29.77,1.27
2007,"Ganga Nagar, Bengaluru",1.77,1.71,3.26,26.64,1.36
2008,"Ganga Nagar, Bengaluru",1.03,2.9,4.1,25.1,4.03
2009,"Ganga Nagar, Bengaluru",0.59,1.41,3.47,17.36,2.64
2010,"Ganga Nagar, Bengaluru",1.67,1.03,3.98,10,1.25
2011,"Ganga Nagar, Bengaluru",1.11,2.68,2.43,21.09,3.71
2012,"Ganga Nagar, Bengaluru",0.84,2.02,4.73,20.24,1.63
2013,"Ganga Nagar, Bengaluru",1.44,2.18,2.08,11.81,1.63
2014,"Ganga Nagar, Bengaluru",0.7,1.52,3.36,17.43,4.56
2015,"Ganga Nagar, Bengaluru",1.42,2.75,3.58,11.8,2.85
2016,"Ganga Nagar, Bengaluru",1.73,1.39,2.27,16.59,2.56
2017,"Ganga Nagar, Bengaluru",0.96,1.27,2.75,23.65,2.54
2018,"Ganga Nagar, Bengaluru",1.45,2.07,3.65,14.97,3.09
2019,"Ganga Nagar, Bengaluru",0.54,1.86,3.72,13.64,2.03
2020,"Ganga Nagar, Bengaluru",0.83,1.14,3.04,29.58,2.42
2021,"Ganga Nagar, Bengaluru",1.19,2.31,3.95,29,4.43
2022,"Ganga Nagar, Bengaluru",1.69,2.9,2.69,22.34,4.55
2023,"Ganga Nagar, Bengaluru",1.44,2.95,2.3,18.79,4.91
2024,"Ganga Nagar, Bengaluru",1.07,2.48,2.09,23.9,4.74
2025,"Ganga Nagar, Bengaluru",1.07,1.04,2.08,27.84,3.89
1995,"Area Code: None, Munger",1.88,3.06,1.44,66.18,9.56
1996,"Area Code: None, Munger",3.12,3.96,1.12,55.03,12
1997,"Area Code: None, Munger",1.56,4.23,1.65,47.48,14.81
1998,"Area Code: None, Munger",1.86,4.29,0.99,62.89,9.56
1999,"Area Code: None, Munger",2.97,2.39,0.9,43,13.65
2000,"Area Code: None, Munger",2.09,3.74,1.73,67.04,6.06
2001,"Area Code: None, Munger",3.29,2.49,1.61,61.87,5.09
2002,"Area Code: None, Munger",1.94,3.23,1.13,67.56,8.6
2003,"Area Code: None, Munger",3.37,3.15,1.95,62.12,13.29
2004,"Area Code: None, Munger",1.71,3.47,0.71,48.93,11.24
2005,"Area Code: None, Munger",2.95,2.1,1.3,56.96,5.79
2006,"Area Code: None, Munger",2.5,3.78,0.58,62.81,10.76
2007,"Area Code: None, Munger",3.17,2.55,1.75,42.84,9.04
2008,"Area Code: None, Munger",1.9,4.19,1.56,40.76,5.1
2009,"Area Code: None, Munger",2.08,2.36,1.45,59.91,14.42
2010,"Area Code: None, Munger",3.4,3.65,0.51,50.77,10.13
2011,"Area Code: None, Munger",2.5,3.51,1.94,66.56,6.09
2012,"Area Code: None, Munger",2.03,4.08,1.74,48.26,12.31
2013,"Area Code: None, Munger",2.84,3.18,0.8,66.66,11.78
2014,"Area Code: None, Munger",1.84,3.76,1.61,66.61,7.23
2015,"Area Code: None, Munger",3.48,2.38,1.4,59.72,9.19
2016,"Area Code: None, Munger",2.45,4.23,1.47,54.91,6.28
2017,"Area Code: None, Munger",1.51,2.31,1.93,62.92,14.67
2018,"Area Code: None, Munger",1.57,3.7,0.57,63.46,8.81
2019,"Area Code: None, Munger",1.69,3.42,0.92,59.79,11.58
2020,"Area Code: None, Munger",2.91,4.48,1.08,53.96,13.05
2021,"Area Code: None, Munger",2.66,2.09,1.76,41.54,6.71
2022,"Area Code: None, Munger",1.7,2.19,0.54,41.65,9.42
2023,"Area Code: None, Munger",2.01,2.32,1.49,46.78,5.19
2024,"Area Code: None, Munger",2.34,2.78,0.98,53.36,11.69
2025,"Area Code: None, Munger",2.73,4.34,1.28,54.18,7.13
1995,"Area Code: 812002, Bhagalpur",2.1,2.97,1.92,46.04,10.79
1996,"Area Code: 812002, Bhagalpur",2.28,3.94,0.69,53.12,11.99
1997,"Area Code: 812002, Bhagalpur",2.31,2.15,1.56,55.1,5.11
1998,"Area Code: 812002, Bhagalpur",2.73,4.3,0.67,57.72,12.29
1999,"Area Code: 812002, Bhagalpur",1.64,2.06,1.2,63.74,6.61
2000,"Area Code: 812002, Bhagalpur",3.17,3.64,1,55.47,14.66
2001,"Area Code: 812002, Bhagalpur",1.93,3.25,1.44,44.14,5.44
2002,"Area Code: 812002, Bhagalpur",1.53,2.81,0.61,64.11,14.97
2003,"Area Code: 812002, Bhagalpur",1.62,3.08,0.54,44.02,8.23
2004,"Area Code: 812002, Bhagalpur",2.29,4.35,1.09,54.89,7.46
2005,"Area Code: 812002, Bhagalpur",1.5,4.25,0.62,68.93,6.31
2006,"Area Code: 812002, Bhagalpur",2.71,4.5,0.71,52.72,12.8
2007,"Area Code: 812002, Bhagalpur",1.56,3.72,0.62,47.1,6.6
2008,"Area Code: 812002, Bhagalpur",3.31,2.45,0.56,57.63,8.46
2009,"Area Code: 812002, Bhagalpur",2.31,2.3,1.62,58.05,8.64
2010,"Area Code: 812002, Bhagalpur",1.84,3.48,1.67,49.37,5.26
2011,"Area Code: 812002, Bhagalpur",1.93,3.71,1.98,40.4,8.06
2012,"Area Code: 812002, Bhagalpur",1.62,2.79,1.11,67.63,5.81
2013,"Area Code: 812002, Bhagalpur",3.05,2.99,1.72,55.4,5.39
2014,"Area Code: 812002, Bhagalpur",3.39,2.21,1.4,66.33,5.8
2015,"Area Code: 812002, Bhagalpur",2.61,4.06,1.98,61.73,7.78
2016,"Area Code: 812002, Bhagalpur",2.9,3.76,1.55,65.63,5.87
2017,"Area Code: 812002, Bhagalpur",1.72,3.6,1.93,53.98,14.61
2018,"Area Code: 812002, Bhagalpur",3.38,4.26,1.86,66.95,13.2
2019,"Area Code: 812002, Bhagalpur",2.89,2.06,0.7,44.03,5.24
2020,"Area Code: 812002, Bhagalpur",1.73,4.3,1.5,49.36,12.93
2021,"Area Code: 812002, Bhagalpur",2.48,2.36,1.83,50.16,11.99
2022,"Area Code: 812002, Bhagalpur",2.08,3.25,1.72,44.7,14.77
2023,"Area Code: 812002, Bhagalpur",1.64,3.34,1.87,68.37,7.32
2024,"Area Code: 812002, Bhagalpur",1.79,3.81,0.56,54.56,12.96
2025,"Area Code: 812002, Bhagalpur",2.62,2.47,1.23,67.64,11.17
1995,"Rajendra Nagar, Patna",1.7,2.23,2.47,27.06,3.51
1996,"Rajendra Nagar, Patna",1.71,2.55,2.89,11.49,1.71
1997,"Rajendra Nagar, Patna",0.64,1.49,3.38,28.14,4.49
1998,"Rajendra Nagar, Patna",1.58,1.05,3.02,23.65,1.52
1999,"Rajendra Nagar, Patna",1.7,2.83,3.06,24.12,1.59
2000,"Rajendra Nagar, Patna",1.54,1.04,2.45,24.2,3.85
2001,"Rajendra Nagar, Patna",1.46,1.95,4.02,25.48,4.87
2002,"Rajendra Nagar, Patna",1.83,2.59,4.08,21.48,1.48
2003,"Rajendra Nagar, Patna",0.75,2.64,4.41,22.29,2.76
2004,"Rajendra Nagar, Patna",0.54,1.65,3.26,19.72,4.72
2005,"Rajendra Nagar, Patna",0.66,2.04,3.1,29.8,4.45
2006,"Rajendra Nagar, Patna",1.16,3,3.54,13.34,3.22
2007,"Rajendra Nagar, Patna",0.84,2.27,4.81,25.72,2.09
2008,"Rajendra Nagar, Patna",0.95,1.14,2.86,11.85,3
2009,"Rajendra Nagar, Patna",1.56,2.5,2.18,16.8,2.15
2010,"Rajendra Nagar, Patna",0.66,1.72,2.9,22.69,4.53
2011,"Rajendra Nagar, Patna",1.18,2.49,2.44,27.9,1.61
2012,"Rajendra Nagar, Patna",0.79,1.21,2.93,21.05,4.95
2013,"Rajendra Nagar, Patna",1.69,1.76,3.73,22.47,4.29
2014,"Rajendra Nagar, Patna",1.6,2.14,4.01,24.92,1.53
2015,"Rajendra Nagar, Patna",0.8,2.38,4.55,18.19,4.92
2016,"Rajendra Nagar, Patna",0.82,1.83,3.14,28.61,2.14
2017,"Rajendra Nagar, Patna",1.21,1.37,3.56,27.15,2.22
2018,"Rajendra Nagar, Patna",1.72,2.82,2.22,25.13,2.02
2019,"Rajendra Nagar, Patna",0.76,2.2,4.12,17.9,1.16
2020,"Rajendra Nagar, Patna",1.86,2.46,2.82,19.94,1.11
2021,"Rajendra Nagar, Patna",1.01,2.05,3.55,14.16,4.11
2022,"Rajendra Nagar, Patna",0.95,2.16,2.81,18.5,1.83
2023,"Rajendra Nagar, Patna",1.45,1.85,2.05,10.56,2.88
2024,"Rajendra Nagar, Patna",0.77,2.17,3.22,23.09,4.81
2025,"Rajendra Nagar, Patna",1.29,2.57,4.26,28.44,1.86
1995,"F/N Ward, Mumbai",1.07,1.32,3.76,13.93,2.83
1996,"F/N Ward, Mumbai",1.81,1.17,2.09,22.13,2.32
1997,"F/N Ward, Mumbai",1.13,1.81,2.26,10.07,4.59
1998,"F/N Ward, Mumbai",0.83,1.85,4.92,26.54,1.43
1999,"F/N Ward, Mumbai",1.26,2.46,4.1,25.22,2.83
2000,"F/N Ward, Mumbai",0.76,1.93,3.94,22.17,1.28
2001,"F/N Ward, Mumbai",0.6,2.93,2.46,15.89,4.07
2002,"F/N Ward, Mumbai",1.11,1.36,3.4,21.38,2.81
2003,"F/N Ward, Mumbai",1.88,1.57,3.98,12.25,2.57
2004,"F/N Ward, Mumbai",1.61,1.45,3.77,13.07,1.41
2005,"F/N Ward, Mumbai",1.28,2.35,2.34,28.36,1.9
2006,"F/N Ward, Mumbai",0.68,1.41,2.51,11.81,4.19
2007,"F/N Ward, Mumbai",1.24,1.78,4.85,17.42,1.67
2008,"F/N Ward, Mumbai",0.91,1.48,3.5,15.83,3.06
2009,"F/N Ward, Mumbai",1.5,2.55,4.13,14.11,1.46
2010,"F/N Ward, Mumbai",1.31,1.4,2.25,20.54,2.31
2011,"F/N Ward, Mumbai",1.63,1.63,4.94,25.17,1.23
2012,"F/N Ward, Mumbai",1.26,2.13,4.09,19.96,2.93
2013,"F/N Ward, Mumbai",1.05,1.54,4.84,16.35,1.25
2014,"F/N Ward, Mumbai",0.75,2.71,3.76,25.58,4.24
2015,"F/N Ward, Mumbai",1.73,2.1,2.53,12.96,3.3
2016,"F/N Ward, Mumbai",1.05,2.12,3.5,22.04,1.13
2017,"F/N Ward, Mumbai",0.55,2.44,2.58,23.04,3.19
2018,"F/N Ward, Mumbai",1.97,2.67,3.24,22.33,1.47
2019,"F/N Ward, Mumbai",1.08,2.47,3.87,19.69,1.71
2020,"F/N Ward, Mumbai",1.7,1.55,4.46,22.23,2.49
2021,"F/N Ward, Mumbai",0.56,1.46,4.67,26.36,3.3
2022,"F/N Ward, Mumbai",1.2,2.29,3.4,22.89,2.23
2023,"F/N Ward, Mumbai",1.76,2.4,2.99,26.61,2.95
2024,"F/N Ward, Mumbai",0.76,1.16,4.1,27.3,4.23
2025,"F/N Ward, Mumbai",1.48,1.28,2.28,16.9,4.42
1995,"G/N Ward, Mumbai",1.06,2.09,4.55,16.68,1.57
1996,"G/N Ward, Mumbai",0.92,2.8,2.48,16.58,2.86
1997,"G/N Ward, Mumbai",1.77,2.88,3.28,28.64,1.65
1998,"G/N Ward, Mumbai",0.74,2.9,3.53,13.72,2.95
1999,"G/N Ward, Mumbai",1.67,2.65,4.59,21.39,4.47
2000,"G/N Ward, Mumbai",1.27,2.21,4.28,18.51,1.29
2001,"G/N Ward, Mumbai",1.03,2.25,2.58,12.97,2.17
2002,"G/N Ward, Mumbai",0.55,2.49,2.78,12.48,3.8
2003,"G/N Ward, Mumbai",1.76,1.04,2.7,28.9,2.54
2004,"G/N Ward, Mumbai",1.91,1.55,2.65,14.28,1.34
2005,"G/N Ward, Mumbai",1.84,2.96,4.86,27.04,4.39
2006,"G/N Ward, Mumbai",1.49,2.65,2.63,17.76,3.56
2007,"G/N Ward, Mumbai",1.81,2.32,4.52,19.48,3.87
2008,"G/N Ward, Mumbai",1.97,1.31,4.78,20.45,3.57
2009,"G/N Ward, Mumbai",1.82,1.82,3.26,20.54,1.08
2010,"G/N Ward, Mumbai",1.24,1.58,4.78,11.75,2.84
2011,"G/N Ward, Mumbai",1.92,2.8,4.1,21.79,2.12
2012,"G/N Ward, Mumbai",1.05,1.18,4.36,16.48,3.67
2013,"G/N Ward, Mumbai",1.04,1.93,3.67,26.04,1.84
2014,"G/N Ward, Mumbai",1.1,1.26,2.23,22.09,1.76
2015,"G/N Ward, Mumbai",0.59,2.79,3.6,12.69,1.21
2016,"G/N Ward, Mumbai",0.68,1.94,4.01,22.83,1.58
2017,"G/N Ward, Mumbai",1.45,1.81,3.39,26.03,2.33
2018,"G/N Ward, Mumbai",0.72,2.75,2.64,15.88,3.83
2019,"G/N Ward, Mumbai",1.53,2.6,2.55,17.05,1.5
2020,"G/N Ward, Mumbai",1.31,1.59,4.07,10.01,1.24
2021,"G/N Ward, Mumbai",1.15,2.92,4.67,29.88,2.67
2022,"G/N Ward, Mumbai",0.57,1.61,4.03,12.7,2.2
2023,"G/N Ward, Mumbai",0.58,1.95,2.63,11.82,2.64
2024,"G/N Ward, Mumbai",1.03,2.08,4.25,12.25,4.16
2025,"G/N Ward, Mumbai",0.54,1.89,3.76,29.14,3.3
1995,"Area Code: 395017, Surat",2.97,2.35,1.76,57.89,14.38
1996,"Area Code: 395017, Surat",3.23,2.19,0.71,58.04,10.18
1997,"Area Code: 395017, Surat",1.84,2.32,1.35,41.47,13.74
1998,"Area Code: 395017, Surat",3.11,3.96,0.52,41.43,10.5
1999,"Area Code: 395017, Surat",3.49,2.86,1.02,44.03,11.74
2000,"Area Code: 395017, Surat",2.79,2.25,1.2,60.01,9.94
2001,"Area Code: 395017, Surat",2.85,4.04,1.53,58.48,13.54
2002,"Area Code: 395017, Surat",3.3,2.97,0.76,64.54,7.14
2003,"Area Code: 395017, Surat",3.36,2.06,1.88,57.68,12.75
2004,"Area Code: 395017, Surat",2.3,4.48,0.84,47.93,5.51
2005,"Area Code: 395017, Surat",3.38,3.14,1.51,60.62,13.75
2006,"Area Code: 395017, Surat",2.83,3.41,1.57,62.53,6.86
2007,"Area Code: 395017, Surat",1.72,2.19,1.06,54.94,11.16
2008,"Area Code: 395017, Surat",3.42,2.83,1.64,55.94,7.2
2009,"Area Code: 395017, Surat",2.73,4.42,0.69,55.22,5.52
2010,"Area Code: 395017, Surat",2.14,3.55,1.76,61.91,9.63
2011,"Area Code: 395017, Surat",3.32,2.76,1.63,54.22,13.99
2012,"Area Code: 395017, Surat",3.09,4.25,0.82,60.04,12.38
2013,"Area Code: 395017, Surat",2.98,3.26,0.52,47.84,8.23
2014,"Area Code: 395017, Surat",3.2,4.1,0.66,68.5,6.82
2015,"Area Code: 395017, Surat",2.33,2.54,1.79,62.48,8.54
2016,"Area Code: 395017, Surat",2.86,2.46,1.07,51.31,7.38
2017,"Area Code: 395017, Surat",3.25,3.7,0.92,47.26,5.18
2018,"Area Code: 395017, Surat",2.19,3.32,0.92,61.01,9.12
2019,"Area Code: 395017, Surat",2.13,4.35,0.89,51.95,8.82
2020,"Area Code: 395017, Surat",1.98,2.54,0.95,65.93,12.67
2021,"Area Code: 395017, Surat",2.86,3.14,1.26,48.01,5.74
2022,"Area Code: 395017, Surat",2.16,3.24,0.59,42.65,7.63
2023,"Area Code: 395017, Surat",2.23,2.98,0.68,46.77,7.62
2024,"Area Code: 395017, Surat",1.64,2.82,0.61,61.1,8.86
2025,"Area Code: 395017, Surat",2.15,2.32,0.84,46.98,14.85
1995,"Kidderpore, Kolkata",1.18,2.78,3.68,28.47,3.04
1996,"Kidderpore, Kolkata",0.94,1.71,3.57,20.6,3.75
1997,"Kidderpore, Kolkata",0.84,2.32,4.34,23.53,2.93
1998,"Kidderpore, Kolkata",1.99,1.81,2.32,26.43,1.85
1999,"Kidderpore, Kolkata",1.57,1.36,2.05,13.2,2.51
2000,"Kidderpore, Kolkata",0.66,1.4,4.29,25.4,4.27
2001,"Kidderpore, Kolkata",1.76,1.84,4.6,20.52,2.88
2002,"Kidderpore, Kolkata",1.58,1.43,4.37,18.59,1.51
2003,"Kidderpore, Kolkata",0.68,1.33,4.67,29.82,2.43
2004,"Kidderpore, Kolkata",0.94,1.44,4.47,14.18,4.7
2005,"Kidderpore, Kolkata",1.5,2.79,3.66,23.81,3.48
2006,"Kidderpore, Kolkata",1.75,2.67,3.77,22.65,4.69
2007,"Kidderpore, Kolkata",1.89,2.33,2.02,12.09,4.43
2008,"Kidderpore, Kolkata",0.63,1.43,2.69,22,3.31
2009,"Kidderpore, Kolkata",0.93,1.42,4.29,28.71,1.21
2010,"Kidderpore, Kolkata",0.7,2.28,4.41,25.82,3.88
2011,"Kidderpore, Kolkata",1.83,1.43,2.32,22.31,4.29
2012,"Kidderpore, Kolkata",1.37,2.93,4.39,24.02,1.24
2013,"Kidderpore, Kolkata",0.66,2.57,2.59,10.58,4.64
2014,"Kidderpore, Kolkata",1.84,1.44,4.34,10.96,2.14
2015,"Kidderpore, Kolkata",1.44,2.53,2.03,16.52,1.86
2016,"Kidderpore, Kolkata",2,2.34,3.22,11.51,3.39
2017,"Kidderpore, Kolkata",1.46,2.63,2.87,29.63,2.76
2018,"Kidderpore, Kolkata",0.94,1.7,3.56,28.73,3.94
2019,"Kidderpore, Kolkata",1.37,1.33,2.45,20.04,3.91
2020,"Kidderpore, Kolkata",1.63,1.45,2.3,17.69,4.67
2021,"Kidderpore, Kolkata",1.32,1.64,2.97,12.64,2.89
2022,"Kidderpore, Kolkata",1.69,2.94,3.5,13.34,3.73
2023,"Kidderpore, Kolkata",1.64,1.14,4.55,26.59,2.89
2024,"Kidderpore, Kolkata",1.34,2.43,4.03,10.33,1.49
2025,"Kidderpore, Kolkata",0.74,2.51,3.32,20.91,4.09
1995,"Area Code: 452001, Indore",1.66,1.52,3.35,13.03,3.71
1996,"Area Code: 452001, Indore",1.59,1.72,4.35,14.8,3.77
1997,"Area Code: 452001, Indore",1.59,2.94,2.7,11.87,2.05
1998,"Area Code: 452001, Indore",0.68,1.34,3,18.28,4.61
1999,"Area Code: 452001, Indore",0.79,2.94,4.43,27.63,4.72
2000,"Area Code: 452001, Indore",1.63,2.58,3.31,20.21,4.73
2001,"Area Code: 452001, Indore",1.07,1.08,4.29,21.46,4.26
2002,"Area Code: 452001, Indore",0.61,2.24,2.74,28.07,1.44
2003,"Area Code: 452001, Indore",1.76,1.18,2.08,14.7,2.33
2004,"Area Code: 452001, Indore",1.44,1.26,3.31,14.09,4.42
2005,"Area Code: 452001, Indore",0.57,1.71,3.89,28.26,4.47
2006,"Area Code: 452001, Indore",1.84,1.13,4.52,25.6,4.61
2007,"Area Code: 452001, Indore",0.97,2.82,3.21,22.68,2.7
2008,"Area Code: 452001, Indore",1.14,2.09,3.07,25.85,3.53
2009,"Area Code: 452001, Indore",1.53,1.46,4.91,23.2,1.79
2010,"Area Code: 452001, Indore",1.63,1.35,2.19,20.55,3.21
2011,"Area Code: 452001, Indore",0.78,1.7,4.84,15.7,1.62
2012,"Area Code: 452001, Indore",1.99,1.6,4.04,14.63,3.2
2013,"Area Code: 452001, Indore",1.08,2.92,3.3,21.68,4.78
2014,"Area Code: 452001, Indore",1.98,1.2,4.5,17.64,3.38
2015,"Area Code: 452001, Indore",1.06,1.8,2.48,21.46,3.19
2016,"Area Code: 452001, Indore",0.78,2.08,4.92,24.29,2.92
2017,"Area Code: 452001, Indore",1.87,2.15,2.41,20.95,1.72
2018,"Area Code: 452001, Indore",1.65,2.93,3.08,18.7,2.69
2019,"Area Code: 452001, Indore",0.93,2.59,3.85,11.28,4.36
2020,"Area Code: 452001, Indore",0.78,2.96,3.13,22.33,1.31
2021,"Area Code: 452001, Indore",1.02,2.6,3.43,28.09,3.3
2022,"Area Code: 452001, Indore",1.89,2.97,3.36,21.3,4.34
2023,"Area Code: 452001, Indore",0.83,2.72,3.78,24.51,1.32
2024,"Area Code: 452001, Indore",1.65,1.62,4.42,20.18,2.1
2025,"Area Code: 452001, Indore",1.93,2.53,4.96,17.29,3.6
1995,"Area Code: 462001, Bhopal",0.95,1.19,2.93,25.42,4.51
1996,"Area Code: 462001, Bhopal",1.87,1.76,3.12,18.13,2.5
1997,"Area Code: 462001, Bhopal",1.5,1.72,2.06,18.78,1.9
1998,"Area Code: 462001, Bhopal",0.54,1.94,2.62,19.05,2.11
1999,"Area Code: 462001, Bhopal",1.41,2.98,3.64,22.94,4.68
2000,"Area Code: 462001, Bhopal",1.06,1.33,2.85,18.06,3.58
2001,"Area Code: 462001, Bhopal",0.51,2.71,2.23,28.01,4.8
2002,"Area Code: 462001, Bhopal",1.99,2.62,2.43,24.12,1.81
2003,"Area Code: 462001, Bhopal",1.85,1.63,2.98,28.35,1.05
2004,"Area Code: 462001, Bhopal",0.79,1.84,4.1,22.95,3.68
2005,"Area Code: 462001, Bhopal",1.82,1.24,3.57,24.51,3.54
2006,"Area Code: 462001, Bhopal",1.17,1.03,2.18,12.38,2.37
2007,"Area Code: 462001, Bhopal",0.68,1.85,2.54,25.58,4.49
2008,"Area Code: 462001, Bhopal",1.08,2.02,4.86,20.71,4.98
2009,"Area Code: 462001, Bhopal",0.71,2.72,3.49,10.45,4.89
2010,"Area Code: 462001, Bhopal",1.95,1.77,4.86,12.82,3.72
2011,"Area Code: 462001, Bhopal",0.79,1.49,4.34,17.55,1.03
2012,"Area Code: 462001, Bhopal",1.12,1.46,4.05,13.89,4.37
2013,"Area Code: 462001, Bhopal",0.9,1.79,2.89,22.88,1.4
2014,"Area Code: 462001, Bhopal",1.22,1.67,4.65,11.47,4.32
2015,"Area Code: 462001, Bhopal",0.75,1.18,2.61,12.05,3.08
2016,"Area Code: 462001, Bhopal",1.98,1.07,3.38,17.72,2.36
2017,"Area Code: 462001, Bhopal",1,2.79,2.06,25.5,2.01
2018,"Area Code: 462001, Bhopal",1.07,1.84,2.91,11.87,1.46
2019,"Area Code: 462001, Bhopal",0.95,2.64,2.4,24.85,2.16
2020,"Area Code: 462001, Bhopal",1.83,1.86,2.52,29.72,1.71
2021,"Area Code: 462001, Bhopal",1.35,2.14,3.12,29.03,4.38
2022,"Area Code: 462001, Bhopal",1.74,2.95,3.37,11.94,4.06
2023,"Area Code: 462001, Bhopal",1.07,1.38,3.45,28.51,1.69
2024,"Area Code: 462001, Bhopal",1.77,1.84,2.41,26.97,4.88
2025,"Area Code: 462001, Bhopal",0.94,1.61,3.17,26.28,1.04
1995,"Area Code: 848101, Samastipur",2.28,2.92,1.51,42.71,7.06
